project,Buginducing,Date,Modifiedfiles,LOC,TotalFixing,Bugfixing,FixingFiles,Tag,commitmessage
cp2k/cp2k,61fd73fe4421f128b51a377ec0a3977afb7663ab,2016-08-30T17:00:13Z,"{'tools/prettify/formatting/normalizeFortranFile.py': 114, 'tools/prettify/formatting/reformatFortranFile.py': 21, 'tools/prettify/fprettify.py': 36}",171,1,{'cf2ac326d85ff827c428a3723e964c44da7e5dcd'},"{'tools/prettify/prettify_cp2k/normalizeFortranFile.py', 'tools/prettify/prettify.py'}",TRUE,
rigetti/grove,c6431ddf3dfee469a8b19a1288f47882ecbff00a,2017-10-10T19:43:22Z,"{'grove/alpha/amplification/amplification.py': 10, 'grove/alpha/amplification/tests/test_amplification.py': 124, 'grove/alpha/amplification/tests/test_grover.py': 2, 'grove/alpha/test_utility_programs.py': 2, 'grove/alpha/utility_programs.py': 68, 'grove/test_utilities.py': 1}",207,3,"{'e5932ebf10a01f1e5f93b03f7d7234c839d599fa', '946bca9b1769028bc6c4a146926058d35fbe4718', '0189492056c85720a83d9d14e20e0ec284b65fd5'}",{'grove/tests/amplification/test_amplification.py'},TRUE,
QMCPACK/qmcpack,4d120e45358f294982b9d7ea48e53b389b5dc84d,2005-11-13T22:04:24Z,"{'src/CMakeLists.txt': 1, 'src/Configuration.h': 5, 'src/Estimators/ScalarEstimatorManager.cpp': 89, 'src/Estimators/ScalarEstimatorManager.h': 43, 'src/OhmmsApp/ProjectData.cpp': 20, 'src/Particle/AsymmetricDistanceTableData.h': 50, 'src/Particle/DistanceTable.cpp': 8, 'src/Particle/DistanceTable.h': 2, 'src/Particle/DistanceTableData.h': 3, 'src/Particle/HDFWalkerIO.h': 4, 'src/Particle/MCWalkerConfiguration.cpp': 3, 'src/Particle/ParticleSet.cpp': 10, 'src/Particle/SymmetricDistanceTableData.h': 48, 'src/ParticleIO/XMLParticleIO.cpp': 2, 'src/QMCHamiltonians/BareKineticEnergy.h': 4, 'src/QMCHamiltonians/ConservedEnergy.h': 5, 'src/QMCHamiltonians/CoulombPBC.h': 12, 'src/QMCHamiltonians/CoulombPotential.h': 23, 'src/QMCHamiltonians/IonIonPotential.h': 6, 'src/QMCHamiltonians/LocalCorePolPotential.cpp': 4, 'src/QMCHamiltonians/LocalCorePolPotential.h': 4, 'src/QMCHamiltonians/NonLocalPPotential.cpp': 4, 'src/QMCHamiltonians/NonLocalPPotential.h': 5, 'src/QMCHamiltonians/QMCHamiltonian.cpp': 7, 'src/QMCHamiltonians/QMCHamiltonian.h': 2, 'src/QMCHamiltonians/QMCHamiltonianBase.h': 3, 'src/QMCWaveFunctions/AtomicOrbitals/HFAtomicSTOSet.h': 76, 'src/QMCWaveFunctions/MolecularOrbitals/GTOMolecularOrbitals.cpp': 6, 'src/QMCWaveFunctions/MolecularOrbitals/GridMolecularOrbitals.cpp': 6, 'src/QMCWaveFunctions/MolecularOrbitals/MolecularOrbitalBasis.h': 2, 'src/QMCWaveFunctions/MolecularOrbitals/MolecularOrbitalBuilder.cpp': 1, 'src/QMCWaveFunctions/MolecularOrbitals/NumericalMolecularOrbitals.cpp': 8, 'src/QMCWaveFunctions/MolecularOrbitals/STOMolecularOrbitals.cpp': 6, 'src/QMCWaveFunctions/OrbitalBase.h': 2}",474,3,"{'bbaa76404072e8de842bfba941b52be2ca75382d', '12e761178786d5b748cdafc66a543c370e67bd4f', '3f23ff30cc8a734f342ac55a9145a5ed85ce6d53'}","{'src/Estimators/ScalarEstimatorManager.cpp', 'src/QMCHamiltonians/QMCHamiltonian.h', 'src/OhmmsApp/ProjectData.cpp'}",TRUE,
m-labs/artiq,d32c2c091fdb30fcd16b7f4b7ac8be8f44ae55ea,2015-11-13T16:06:52Z,"{'artiq/master/repository.py': 74, 'examples/master/repository/coredevice_examples/photon_histogram.py': 0, 'examples/master/repository/coredevice_examples/simple/blink_forever.py': 0, 'examples/master/repository/coredevice_examples/simple/dds_test.py': 0, 'examples/master/repository/coredevice_examples/simple/handover.py': 0, 'examples/master/repository/coredevice_examples/simple/mandelbrot.py': 0, 'examples/master/repository/coredevice_examples/tdr.py': 0, 'examples/master/repository/coredevice_examples/transport.py': 0, 'examples/master/repository/utilities/dds_setter.py': 0, 'examples/master/repository/utilities/terminate_all.py': 0}",74,2,"{'723ef71a87b0940be3ad2f62ca63e7c6ee333ce3', 'cc6b808bf81affdf4977e020f2ff1c53763c87e6'}","{'artiq/master/repository.py', 'artiq/master/experiments.py'}",TRUE,
MolSSI/QCFractal,8a5d86dfc218e54c96961cd1c650802758fb3e94,2019-04-18T19:10:48Z,{'qcfractal/cli/qcfractal_manager.py': 3},3,1,{'6f51782fb5c3a1709331476e2f1980caa9cc0ff6'},{'qcfractal/cli/qcfractal_manager.py'},TRUE,
qutip/qutip,6c34f322db7cf5edd4566777f1ecaf249bf76e3a,2013-10-24T06:23:37Z,{'qutip/qobj.py': 22},22,2,"{'f365160d6d1bd69784836376929fe76c76aa357a', '0da7bbaf5a8deb93dca9c5905e869413bebee168'}",{'qutip/qobj.py'},TRUE,
cp2k/cp2k,6a84495c4128a9032b5e06832d3804e23b2debeb,2009-06-03T12:53:57Z,"{'src/ewald_environment_types.F': 23, 'src/fist_force.F': 4, 'src/fist_nonbond_env_types.F': 18, 'src/fist_pol_scf.F': 4, 'src/force_fields_all.F': 30, 'src/force_fields_util.F': 5, 'src/input_cp2k_mm.F': 8, 'src/input_cp2k_poisson.F': 2, 'src/mc_misc.F': 6, 'src/qs_environment.F': 2, 'tests/Fist/regtest-12/nptf_ortho.inp': 1, 'tests/Fist/regtest-3/TEST_FILES_RESET': 3, 'tests/Fist/regtest-6/TEST_FILES_RESET': 2, 'tests/Fist/regtest-8/TEST_FILES_RESET': 5, 'tests/MC/regtest/GEMC_NVT_box1.inp': 1, 'tests/MC/regtest/GEMC_NVT_box2.inp': 1, 'tests/MC/regtest/GEMC_NpT_box1.inp': 1, 'tests/MC/regtest/GEMC_NpT_box2.inp': 1, 'tests/MC/regtest/GEMC_swap_box1.inp': 1, 'tests/MC/regtest/MC_Fist_box1.inp': 1, 'tests/MC/regtest/MC_Fist_box2.inp': 1, 'tests/MC/regtest/bias_template.inp': 1, 'tests/MC/regtest/canonical.inp': 1, 'tests/MC/regtest/canonical_bias.inp': 1, 'tests/MC/regtest/virial.inp': 1, 'tests/QMMM/QS/regtest-1/TEST_FILES_RESET': 4, 'tests/QMMM/QS/regtest-3/TEST_FILES_RESET': 3}",131,3,"{'4b459a5d5080fc03ebaa0936b485ac288dccdd23', 'b075cfc0fbb08bc3806e14e06ac2deb60b3a9335', 'ff0c5dc6560d717f531b76e5c96be361b17082b5'}","{'src/force_fields_util.F', 'src/fist_nonbond_env_types.F', 'src/ewald_environment_types.F', 'src/force_fields_all.F', 'src/qs_environment.F'}",FALSE,
cp2k/cp2k,9509ff70397eea84df92d212b2611ba411f2d9a4,2003-03-31T10:30:29Z,"{'src/cube_utils.F': 1, 'src/kg_density.F': 65, 'src/l_utils.F': 68, 'src/pw_env_methods.F': 2, 'src/pw_types.F': 23, 'src/qs_collocate_density.F': 687, 'src/qs_environment_methods.F': 2, 'src/qs_integrate_potential.F': 545, 'src/qs_interactions.F': 7, 'src/qs_ks_methods.F': 19, 'src/qs_ot.F': 5, 'src/realspace_grid_types.F': 7}",1431,3,"{'0271aab21ab1887393807f8a38df736195ad657a', '7a6646905f3ac8afc7d4c1d649f5468440d0f3d4', 'aec35c00a8cf03ac5d98b65aeef09161e00e36ab'}","{'src/qs_collocate_density.F', 'src/pw_types.F', 'src/qs_integrate_potential.F'}",Unclear,
quantumlib/Cirq,efdbb76dac7c08ea075fad864dd31d5638748059,2019-02-15T22:46:58Z,"{'cirq/ops/controlled_gate.py': 34, 'cirq/ops/controlled_gate_test.py': 91, 'cirq/ops/controlled_operation.py': 31, 'cirq/ops/controlled_operation_test.py': 54}",210,1,{'63025af140ff702c0b85e62543d6f552a3f0c3ed'},{'cirq/ops/controlled_operation.py'},TRUE,
theQRL/QRL,9633dcc976d8ff60b64b564acf99eccb712fac5f,2020-03-11T09:44:30Z,"{'src/qrl/core/qrlnode.py': 7, 'src/qrl/daemon/walletd.py': 140, 'src/qrl/generated/qrlwallet_pb2.py': 194, 'src/qrl/generated/qrlwallet_pb2_grpc.py': 18, 'src/qrl/protos/qrlwallet.proto': 8, 'src/qrl/services/WalletAPIService.py': 20}",387,1,{'d8680f3296079e8df60ed6f0608cf405c0f83ff8'},{'src/qrl/daemon/walletd.py'},TRUE,
pyscf/pyscf,8682c0949d3bd6e509c1addbaff33c4843a2929a,2014-11-20T03:27:56Z,"{'README.md': 2, 'fci/__init__.py': 16, 'fci/direct_ms0.py': 145, 'fci/direct_ms0_symm.py': 219, 'fci/direct_spin0.py': 144, 'fci/direct_spin0_symm.py': 223, 'fci/direct_spin1.py': 246, 'fci/direct_spin1_symm.py': 262, 'fci/direct_uhf.py': 118, 'lib/ao2mo/CMakeLists.txt': 3, 'lib/dft/CMakeLists.txt': 3, 'lib/mcscf/CMakeLists.txt': 3, 'lib/mcscf/fci_contract.c': 162, 'lib/np_helper/CMakeLists.txt': 3, 'lib/vhf/CMakeLists.txt': 3, 'mcscf/__init__.py': 21, 'mcscf/casci.py': 17, 'mcscf/casci_symm.py': 87, 'mcscf/mc1step.py': 37, 'mcscf/mc1step_symm.py': 171, 'scf/__init__.py': 1, 'scf/chkfile.py': 26, 'scf/dhf_dkb.py': 10, 'scf/diis.py': 115, 'scf/hf.py': 27, 'scf/hf_symm.py': 1006}",3070,35,"{'08a789722689aae6ae666602d85eb2f32e60fd54', '34884f0ee4f1f081cf1290e115074ccd4fe27ea2', '874b51531ca0375acff3738713b113bc47ca4879', '8e00d2342297efcf8e947558f9ebca1c1aa4c33a', '2efeae0bda24d1ee5b829ab7ef9a05d5d11fca89', '640751a817021e9af6e0f80f96f64e1b23d875c9', 'a605e9ae71c74001a1e76d0c05046ddb487525d4', 'bc02e541478b9aa1759acb4f43584ffebd25decb', '855c848509e65654c3cab51a823b052e35fd030b', '5fd435a156024fc1248e5db53cad09d184708fd4', '0e15cf9b3311b3c58c15c94c5d37e5e2c6929a3e', '0362236b5edfa8b138fa407a4ea2d8ffef826b4d', '3e072e7d15890a8b5c4ada464ecf418c46c630f3', '367ff556010fe8d5e1ec3e1969ae84edcaa17a15', 'e2d9144a71270c8019440aeeb16497e07f9c497d', '3ae7c112a46c3dc2039825f32e0736b89430424a', '7414e951e4cf8b0dcf596c01ef9d6849a62075a7', 'c5be4a9d7330ce01397a1871538f782101dfb726', 'f85d771be92dd6c20f6d26b6172b0f4efdeca3ef', 'beca00b526332119e19023f45a869b9c4c4fe848', 'ba8a142d1f163d59a51e9f17a95298045c74e2a5', 'a91bb4c7f3bf6d4a6228516f286498e6ca616d88', 'fc2ce47c790db699458fe431da57fb8328f9d71c', '5a168240afff0a67299396a65d9c3bae1c9ddb71', 'a5d18fefad5193178ac5bd893324487322d52570', '812f3079ab5ea1c923d705d20747ec34e278619b', 'fe0730dce4aa2c1d5558cf964ed7400543e5e9b6', '84ee6957599048fd9064553e3dd7e91fb3e6dfe2', '08a0ece61dcd48dda364155824f3a8c494740527', 'e47989571640d559367a245efb1ecd42e1af7ea8', 'ede1e6bfacf9e1f640f438dbb19ce700d150890d', 'fc803a4a45ff0904ee62c409b0047842b47424a6', 'ecadecd5da9f83360a4190e83dc3bb027fddfa0f', '5ae3b8f8386d6d197edbc0334c3ad5a25be96bc1', '1795a9b0fdba5be3f291a5763b499614f5c76c53'}","{'mcscf/__init__.py', 'fci/direct_spin0.py', 'mcscf/casci_symm.py', 'mcscf/casci.py', 'lib/mcscf/fci_contract.c', 'mcscf/mc1step.py', 'scf/hf_symm.py', 'pyscf/mcscf/mc1step_symm.py', 'mcscf/mc1step_symm.py', 'fci/direct_ms0.py', 'pyscf/scf/hf_symm.py', 'fci/direct_spin1.py', 'fci/direct_uhf.py', 'pyscf/mcscf/casci_symm.py', 'scf/hf.py', 'scf/diis.py', 'fci/direct_spin0_symm.py', 'fci/direct_spin1_symm.py', 'scf/chkfile.py', 'fci/direct_ms0_symm.py'}",FALSE,
m-labs/artiq,2955f9a1e0d194af968b0fbd6e07a0ab3eed705c,2016-01-04T16:16:58Z,{'artiq/compiler/embedding.py': 4},4,1,{'f838b8be497ac68206565d0f0582873b7136ccbf'},{'artiq/compiler/embedding.py'},TRUE,
hande-qmc/hande,4a9ddf4a0aa3d80f54ae2dcb8377076822724284,2011-03-09T05:47:26Z,"{'src/determinants.f90': 77, 'src/hubbard_real.f90': 33}",110,3,"{'626722fbaa621319c3e5064c6a68de0f0d47a438', '9a7a995eb416b2f0d733da1200a15210a646cbdb', '5e6f3d7339b1ea146bce04e035ef690a847c2f24'}","{'src/real_lattice.f90', 'src/determinants.f90'}",TRUE,
ValeevGroup/mpqc,6fee56e162555ef4787ed1a9f6a41e3320b5521f,1996-07-19T22:48:46Z,{'mpqc/configure.in': 25},25,1,{'40b2e5ac5422fcbe715c244a86d46094339f78d9'},{'mpqc/configure.in'},TRUE,
BBN-Q/pyqgl2,8f1c86075cd1d0646742c33010f523380b020bf2,2016-02-19T19:55:37Z,"{'src/python/qgl2/basic_sequences/AllXY.py': 23, 'src/python/qgl2/basic_sequences/CR.py': 58, 'src/python/qgl2/basic_sequences/Decoupling.py': 27, 'src/python/qgl2/basic_sequences/Feedback.py': 75}",183,1,{'30ecc1f528c973a326d224463ff6f94ef4de01f9'},{'src/python/qgl2/basic_sequences/CR.py'},TRUE,
QuTech-Delft/qtt,280179ab029e1f209c34933a07aead3877ad9e30,2019-05-26T17:56:11Z,{'src/qtt/measurements/scans.py': 4},4,2,"{'946b0425c4b4b9eee16d2c5181f38fc59b1d2adc', '621d84fcd6b0451619ff15acded8a8d8d02ac6b5'}",{'src/qtt/measurements/scans.py'},TRUE,
m-labs/artiq,fc9766d2fa4b694a183330d8a403035f4419b143,2018-01-04T11:37:52Z,"{'artiq/firmware/bootloader/main.rs': 8, 'artiq/firmware/libboard/ethmac.rs': 10, 'artiq/firmware/runtime/main.rs': 10}",28,2,"{'b482f5feaedde7bd10903fd9e7cad249e596f88b', '267c6998351097b887ea572c6db9d5c304572a17'}",{'artiq/firmware/runtime/main.rs'},TRUE,
MolSSI/QCElemental,82304b03dd1146a589098f72db0b3888813f9e38,2019-03-24T17:34:14Z,"{'docs/source/changelog.rst': 18, 'qcelemental/models/molecule.py': 47, 'qcelemental/tests/test_molecule.py': 9}",74,1,{'5ca9caae9acea7f6a033f3c2da2f8b6fda4144b5'},{'qcelemental/models/molecule.py'},TRUE,
cp2k/cp2k,fb624ba357fcfc6bc423ba7c8ef24287e59ea76b,2003-08-13T07:30:27Z,"{'src/OBJECTDEFS': 1, 'src/cp_sm_fm_interactions.F': 2, 'src/preconditioner.F': 3, 'src/qs_environment_methods.F': 51, 'src/qs_environment_types.F': 27, 'src/qs_integrate_potential.F': 1, 'src/qs_kpp1_env_methods.F': 3, 'src/qs_ks_methods.F': 1, 'src/qs_ks_types.F': 1, 'src/qs_ot.F': 3, 'src/qs_rho_types.F': 3, 'src/qs_scf.F': 40, 'src/qs_tddfpt_eigensolver.F': 9, 'src/sparse_matrix_types.F': 110}",255,4,"{'2c137acc7b4af97ee0654ab59798b0477e41ffe7', '049c50814063762402de5ad7a66281a7abbc1b91', '885bb5aedb768ad1ef7dbf68d24fa0b6a6d52c98', '84810dd808455918591cbbffc18cfd3051d90515'}","{'src/sparse_matrix_types.F', 'src/qs_tddfpt_eigensolver.F', 'src/qs_scf.F', 'src/qs_environment_methods.F', 'src/qs_environment_types.F', 'src/OBJECTDEFS'}",TRUE,
aoterodelaroza/critic2,759ed7388e9796edc7b484c92396cc71f594c878,2017-08-06T07:38:57Z,"{'src-gui/imgui/imgui_dock.cpp': 13, 'src-gui/imgui/imgui_dock.h': 9, 'src-gui/main.cpp': 39}",61,1,{'6ce4e90da17e1c1ffde75b8144738592dbbe930c'},{'src-gui/imgui/imgui_dock.cpp'},TRUE,
MolSSI/QCFractal,eee33072ede3aa5e8e8a1fee5a8914deff74a518,2018-10-19T21:59:15Z,{'qcfractal/cli/qcfractal_server.py': 75},75,2,"{'7b19a627a5c3309dc154d519fc04ee4094f626fc', '24f4d7d1cd02ee8b3ce571f4777a4f46cf9308a9'}",{'qcfractal/cli/qcfractal_server.py'},TRUE,
QMCPACK/qmcpack,c3a185b5603487d16748e0ac1f0e2570bf11b59c,2011-03-27T16:59:17Z,"{'src/QMCDrivers/QMCChooseBestParameters.cpp': 82, 'src/QMCDrivers/QMCChooseBestParameters.h': 2, 'src/QMCDrivers/QMCCorrelatedSamplingLinearOptimize.cpp': 466, 'src/QMCDrivers/VMC/VMCLinearOptOMP.cpp': 2, 'src/QMCWaveFunctions/TrialWaveFunction.h': 14}",566,3,"{'55848d1482fac8755268d8119991529115e76e4d', '62cc873a44d114e0fc5b423b2648e2e7274ee3d6', '93bd54491aef333cf3b3361c9ea40a73432ffb78'}",{'src/QMCDrivers/QMCCorrelatedSamplingLinearOptimize.cpp'},TRUE,
ValeevGroup/mpqc,4b786be6b07ed67b3164b219386cccbb3614d696,2017-03-06T19:08:29Z,{'src/mpqc/chemistry/qc/lcao/ci/cis.h': 206},206,3,"{'98efb9faeaa99de5fcd9116b233d6e06ad3750d3', '00e75fb478265d822a48ef8a3645d4c09bfbc59d', '393ba3f4ecf868440b824b0c91853663959c7fa9'}",{'src/mpqc/chemistry/qc/lcao/ci/cis.h'},TRUE,
QMCPACK/qmcpack,57c548dcfbafebe74bb12f0abb1166b517e7b103,2019-08-29T19:42:07Z,"{'src/QMCHamiltonians/CoulombPotential.h': 14, 'src/QMCHamiltonians/CoulombPotentialFactory.cpp': 2, 'src/QMCHamiltonians/tests/test_force.cpp': 60}",76,1,{'57e9e5b4fdb796935800fcb085d7923bcdd1703f'},{'src/QMCHamiltonians/tests/test_force.cpp'},TRUE,
BBN-Q/Qlab,face6d048f0b20032f681bb4af959b248ef57f6d,2012-07-03T18:59:40Z,"{'hardware/APS/libaps-cpp/FPGA.cpp': 432, 'hardware/APS/libaps-cpp/FPGA.h': 16, 'hardware/APS/libaps-cpp/headings.h': 108}",556,5,"{'d539de3c2dec78a230da4fd1dde76fbed79ecdad', 'a3a961ae8de5073fc5808d3887cce82cb1b0cf1b', 'a51abba00b474fd556ccd62dc9c6bcda7290fb15', 'f027741ee900d88961886eafc4370a3939c97f96', '8dc7e145fb2d018fdc8369644093af0a739de333'}","{'hardware/APS/libaps-cpp/FPGA.cpp', 'hardware/APS/libaps-cpp/FPGA.h'}",TRUE,
Qiskit/qiskit-terra,7d653c08b5243a4d49ecfdedbf05fc1eeb565d59,2017-10-16T17:47:02Z,{'qiskit/extensions/standard/iden.py': 2},2,1,{'dd528c0c2398cb9bda80178027bccd39b596113c'},{'qiskit/extensions/standard/iden.py'},TRUE,
MolSSI/QCFractal,485a13198cdca2e02b814cd9a82382167253e6c8,2018-10-22T14:14:06Z,"{'MANIFEST.in': 2, 'devtools/cli_tests/cli_coverage_test.py': 38, 'qcfractal/cli/cli_utils.py': 34, 'qcfractal/cli/qcfractal_manager.py': 45, 'qcfractal/cli/qcfractal_server.py': 17, 'qcfractal/cli/tests/__init__.py': 0, 'qcfractal/cli/tests/fw_config_boot.yaml': 3, 'qcfractal/cli/tests/setup.yaml': 3, 'qcfractal/cli/tests/test_cli.py': 52, 'qcfractal/queue/managers.py': 10, 'qcfractal/server.py': 1, 'qcfractal/testing.py': 11}",216,1,{'e14adcadaae8c159e92f8e2685b49b70cb15c829'},"{'qcfractal/cli/cli_utils.py', 'qcfractal/cli/qcfractal_server.py'}",TRUE,
m-labs/artiq,7e9df82e372be382e59b793a7453de9a49f7e7d4,2014-08-28T10:58:24Z,{'artiq/compiler/ir_values.py': 101},101,1,{'86193437f52876301fa25397f5ec36b9bd8125ea'},{'artiq/compiler/ir_values.py'},TRUE,
BBN-Q/pyqgl2,911736e07dfafc594092684b941a3970f804d8c7,2016-04-14T19:04:34Z,{'src/python/pyqgl2/importer.py': 17},17,1,{'d4c5be0d5320963642cc958433f72f5a6bc68911'},{'src/python/pyqgl2/importer.py'},TRUE,
qucontrol/krotov,aafc591b12cb29fc77547d303603eb7b21f5cbf2,2019-02-12T19:17:57Z,"{'docs/notebooks/04_example_dissipative_qubit_reset.ipynb': 53, 'docs/notebooks/07_example_PE.ipynb': 114, 'src/krotov/info_hooks.py': 83, 'src/krotov/optimize.py': 35, 'src/krotov/parallelization.py': 8}",293,4,"{'4d6daa5e69dd198ac68be6b3dfbfb7eb45e0b4cc', '0c2dad0960f7a96a7223b787de945a76d103c6c4', '7b6dff3669432d331442b7ba1739940cd7b9d65a', '69483f051d0d4337eb7704557b2e75b29126cbea'}","{'docs/notebooks/07_example_PE.ipynb', 'docs/notebooks/04_example_dissipative_qubit_reset.ipynb', 'src/krotov/info_hooks.py'}",TRUE,
quantumlib/Cirq,f13d1e19bebda1cde91468eaeb6fab8d0ca6e090,2019-10-14T20:21:24Z,"{'cirq/contrib/routing/greedy.py': 44, 'cirq/contrib/routing/initialization.py': 32, 'cirq/contrib/routing/initialization_test.py': 71, 'cirq/contrib/routing/router_test.py': 100, 'cirq/google/serializable_device_test.py': 1}",248,1,{'e69a1acdda4b4cc6b3a76c2e534ee958b07772b0'},{'cirq/contrib/routing/router_test.py'},TRUE,
jcmgray/quimb,ffcda33d5dd2f86b5d4950fa6e9615659a59f6bb,2017-11-19T16:29:10Z,"{'docs/_static/my-styles.css': 18, 'docs/_templates/layout.html': 5, 'docs/calculating quantities.rst': 4, 'docs/conf.py': 35, 'docs/dynamics and evolution.rst': 96, 'docs/installation.rst': 66, 'docs/states.rst': 24, 'quimb/calc.py': 4, 'quimb/evo.py': 23, 'quimb/gen/states.py': 2}",277,2,"{'69fd7efef3f9fae0cf5acc43cc06763a96f7947c', 'f4f38b5f20f35fb0ce48b2a2b8286eda2eb06327'}","{'docs/dynamics and evolution.rst', 'docs/basics.rst'}",TRUE,
Qiskit/qiskit-aqua,547f1338aefc39549c0da988dca1e955ff3be6c4,2018-09-21T11:17:29Z,"{'qiskit_aqua/algomethods.py': 3, 'qiskit_aqua/parser/input_schema.json': 4, 'qiskit_aqua/quantumalgorithm.py': 2, 'qiskit_aqua/utils/__init__.py': 9, 'qiskit_aqua/utils/circuit_cache.py': 34, 'qiskit_aqua/utils/run_circuits.py': 13}",65,1,{'204ad2126f0ca3e40421b4a625839f3f8fc013f6'},{'qiskit_aqua/utils/circuit_cache.py'},TRUE,
QInfer/python-qinfer,4c2a4d87e74c47d7b36ed58c3a9d338f56446ee8,2012-08-23T21:17:48Z,"{'src/qinfer/distributions.py': 28, 'src/qinfer/smc.py': 31, 'src/qinfer/test_models.py': 2}",61,4,"{'1b46426fa44138b24e7cea84770120b459a43ae2', '2644a4196e66ef3cfaa9dfb9ff03508edb8b162a', '291a92cabf28731f2fdb32769090549079271095', 'db6d256dee3ab3863bd72c6f284a84076c1aee9a'}","{'src/qinfer/distributions.py', 'src/qinfer/smc.py'}",TRUE,
ValeevGroup/mpqc,71e59de01c226d0b1c527cfc193e065b9b64107d,1995-11-20T06:30:21Z,"{'mpqc/src/lib/chemistry/qc/basis/Makefile': 4, 'mpqc/src/lib/chemistry/qc/basis/gaussshell.cc': 85, 'mpqc/src/lib/chemistry/qc/basis/gaussshell.h': 25, 'mpqc/src/lib/chemistry/qc/basis/rot.cc': 89, 'mpqc/src/lib/chemistry/qc/basis/rot.h': 9}",212,1,{'374fa2598b5471ddc62496d3b6b6d931836beba0'},{'mpqc/src/lib/chemistry/qc/basis/rot.cc'},TRUE,
quantumlib/Cirq,66cbf62ba36ab8b131422761ece9000d1ca788d2,2018-07-28T09:31:40Z,"{'cirq/ops/pauli_interaction_gate.py': 7, 'cirq/ops/pauli_string.py': 15, 'cirq/ops/pauli_string_test.py': 8}",30,2,"{'fb427186cb24d5a8d333e3fd7b06b7a020b1d2bc', 'c3a00849f78a7e18a9bbcaf35757334a120ab37a'}","{'cirq/ops/pauli_interaction_gate.py', 'cirq/ops/pauli_string.py'}",TRUE,
theQRL/QRL,9f1f922ee1b5b07601765a0ae73704074277c161,2017-09-29T15:40:43Z,"{'qrl/crypto/doctest_data.py': 16, 'qrl/crypto/xmss.py': 92}",108,2,"{'f78465468088ff0945971ed269d93133dd657523', '259fbcdd597fac82a773be8f8a11a7d9de4a7cef'}",{'qrl/crypto/xmss.py'},TRUE,
pyscf/pyscf,94b936f5c0c810ddce733c819cd042294a840c1d,2015-06-25T19:32:44Z,"{'fci/direct_spin0.py': 31, 'fci/direct_spin1.py': 2, 'lib/linalg_helper.py': 8, 'mcscf/mc1step.py': 7}",48,4,"{'4f5271bb1d0bd4617f7be22feffa4fe634aef467', '92201c1a560678aa57475e1da40516de6da858e3', '8f296e77ec39f8fc8a6d79cd7e00dfd01ac8fe26', 'a605e9ae71c74001a1e76d0c05046ddb487525d4'}","{'fci/direct_spin1.py', 'fci/direct_spin0.py', 'lib/linalg_helper.py', 'pyscf/fci/direct_spin0.py'}",TRUE,
cp2k/cp2k,3cd093561e3705a4800568a24009b87f8aed2931,2013-03-05T14:55:09Z,"{'src/bfgs_optimizer.F': 2, 'src/cell_opt_types.F': 4, 'src/cell_opt_utils.F': 114, 'src/cell_types.F': 397, 'src/dbcsr_lib/dbcsr_mm_csr.F': 8, 'src/dbcsr_lib/dbcsr_mm_driver.F': 2, 'src/gopt_f77_methods.F': 12, 'src/input_constants.F': 12, 'src/input_cp2k_motion.F': 9, 'src/input_cp2k_subsys.F': 24, 'src/mc_ge_moves.F': 6, 'src/mc_moves.F': 3, 'src/topology.F': 3, 'src/topology_cif.F': 15, 'src/topology_xtl.F': 15, 'tests/Fist/regtest-opt/TEST_FILES': 12, 'tests/Fist/regtest-opt/cell_sym_cubic.inp': 269, 'tests/Fist/regtest-opt/cell_sym_hexagonal.inp': 269, 'tests/Fist/regtest-opt/cell_sym_monoclinic.inp': 269, 'tests/Fist/regtest-opt/cell_sym_none.inp': 269, 'tests/Fist/regtest-opt/cell_sym_orthorhombic.inp': 269, 'tests/Fist/regtest-opt/cell_sym_rhombohedral.inp': 269, 'tests/Fist/regtest-opt/cell_sym_tetragonal.inp': 269, 'tests/Fist/regtest-opt/cell_sym_tetragonal_ab.inp': 269, 'tests/Fist/regtest-opt/cell_sym_tetragonal_ac.inp': 269, 'tests/Fist/regtest-opt/cell_sym_tetragonal_bc.inp': 269, 'tests/Fist/regtest-opt/cell_sym_triclinic.inp': 269}",3597,2,"{'58b8d17042c86967822a983b43696d0c92fc6830', '00af27ec4e45c2040183239ae83187fbde678191'}",{'src/input_cp2k_subsys.F'},TRUE,
cp2k/cp2k,4733c474b43727fdcf79b85f432108811ca9eb9b,2009-08-18T11:06:03Z,"{'src/dbcsr_operations.F': 2, 'src/dkh_main.F': 158, 'src/qmmm_se_energy.F': 2, 'src/qs_core_hamiltonian.F': 197, 'src/qs_energy.F': 4, 'src/qs_operators_ao.F': 25, 'src/qs_overlap.F': 51, 'src/rt_propagation_utils.F': 48, 'src/se_core_matrix.F': 4, 'src/sparse_matrix_types.F': 13}",504,5,"{'53b795fa35e0446436c10143edaf7fdb5f03c83b', '4a4cf7f68129ef9151d21894a7d5ccfeecc011ae', '6820da99cdebf17f4c0e94d397b3084ed9c56829', 'ee2df61d7a74d61202fcfcf4a2fed9233b62d4d7', '8caf595e695722e0e3fe22347e9ac6839cd8c352'}","{'src/dkh_main.F', 'src/dbcsr_operations.F', 'src/qmmm_se_energy.F', 'src/rt_propagation_utils.F', 'src/qs_overlap.F', 'src/qs_energy.F', 'src/se_core_matrix.F', 'src/qs_core_hamiltonian.F'}",FALSE,
