Category,Severity,Frequency,Total,Percentage
Simulator,Minor,4.1644319651702055e-06,0.006701953132856475,0.062
Simulator,Minor,4.459823144944252e-06,0.006701953132856475,0.067
Simulator,Minor,5.692281935375858e-06,0.006701953132856475,0.085
Simulator,Minor,4.428861413544934e-06,0.006701953132856475,0.066
Simulator,Minor,4.428861413544934e-06,0.006701953132856475,0.066
Simulator,Minor,4.428861413544934e-06,0.006701953132856475,0.066
Simulator,Minor,4.428861413544934e-06,0.006701953132856475,0.066
Simulator,Minor,4.428861413544934e-06,0.006701953132856475,0.066
Simulator,Minor,4.428861413544934e-06,0.006701953132856475,0.066
Simulator,Minor,4.437049362174154e-06,0.006701953132856475,0.066
Simulator,Minor,4.417448923246825e-06,0.006701953132856475,0.066
Simulator,Minor,4.417448923246825e-06,0.006701953132856475,0.066
Simulator,Minor,4.417448923246825e-06,0.006701953132856475,0.066
Simulator,Minor,4.437049362174154e-06,0.006701953132856475,0.066
Simulator,Minor,4.437049362174154e-06,0.006701953132856475,0.066
Simulator,Minor,3.4129692832764506e-06,0.006701953132856475,0.051
Simulator,Minor,3.4129692832764506e-06,0.006701953132856475,0.051
Simulator,Minor,3.4129692832764506e-06,0.006701953132856475,0.051
Simulator,Minor,3.4129692832764506e-06,0.006701953132856475,0.051
Simulator,Minor,3.4129692832764506e-06,0.006701953132856475,0.051
Simulator,Minor,4.982838308066583e-07,0.006701953132856475,0.007
Simulator,Minor,4.982838308066583e-07,0.006701953132856475,0.007
Simulator,Minor,7.734358573874388e-06,0.006701953132856475,0.115
Simulator,Minor,8.741258741258741e-07,0.006701953132856475,0.013
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,5.8870326173428795e-06,0.006701953132856475,0.088
Simulator,Minor,5.8870326173428795e-06,0.006701953132856475,0.088
Simulator,Minor,5.757858699035169e-06,0.006701953132856475,0.086
Simulator,Minor,5.618830675778284e-06,0.006701953132856475,0.084
Simulator,Minor,5.716934487021014e-06,0.006701953132856475,0.085
Simulator,Minor,5.716934487021014e-06,0.006701953132856475,0.085
Simulator,Minor,5.716934487021014e-06,0.006701953132856475,0.085
Simulator,Minor,5.756962813132099e-06,0.006701953132856475,0.086
Simulator,Minor,5.7551718774303935e-06,0.006701953132856475,0.086
Simulator,Minor,1.4582500998801439e-05,0.006701953132856475,0.218
Simulator,Minor,1.9836398175309824e-06,0.006701953132856475,0.03
Simulator,Minor,6.4179345522081736e-06,0.006701953132856475,0.096
Simulator,Minor,1.360381950526822e-06,0.006701953132856475,0.02
Simulator,Minor,1.4471673144380464e-06,0.006701953132856475,0.022
Simulator,Minor,1.4501213077856214e-06,0.006701953132856475,0.022
Simulator,Minor,5.494578487715578e-07,0.006701953132856475,0.008
Simulator,Minor,4.601330894575849e-06,0.006701953132856475,0.069
Simulator,Minor,2.1723122238586154e-05,0.006701953132856475,0.324
Simulator,Minor,2.1723122238586154e-05,0.006701953132856475,0.324
Simulator,Minor,2.1723122238586154e-05,0.006701953132856475,0.324
Simulator,Minor,0.00010666666666666667,0.006701953132856475,1.592
Simulator,Minor,0.00010666666666666667,0.006701953132856475,1.592
Simulator,Minor,0.00010666666666666667,0.006701953132856475,1.592
Simulator,Minor,3.4709613525430924e-06,0.006701953132856475,0.052
Simulator,Minor,4.3041231597495523e-07,0.006701953132856475,0.006
Simulator,Minor,8.90937019969278e-06,0.006701953132856475,0.133
Simulator,Minor,8.254173199299088e-06,0.006701953132856475,0.123
Simulator,Minor,6.994796553783162e-06,0.006701953132856475,0.104
Simulator,Minor,7.017988881138098e-06,0.006701953132856475,0.105
Simulator,Minor,6.917122623382802e-06,0.006701953132856475,0.103
Simulator,Minor,3.5861294748659098e-06,0.006701953132856475,0.054
Simulator,Minor,3.5595704585564295e-06,0.006701953132856475,0.053
Simulator,Minor,3.5392535392535393e-06,0.006701953132856475,0.053
Simulator,Minor,3.4455801024987695e-06,0.006701953132856475,0.051
Simulator,Minor,3.5108080661540695e-06,0.006701953132856475,0.052
Simulator,Minor,3.391540768562379e-06,0.006701953132856475,0.051
Simulator,Minor,3.49438696896324e-06,0.006701953132856475,0.052
Simulator,Minor,3.5056725646617163e-06,0.006701953132856475,0.052
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,2.791130407815165e-07,0.006701953132856475,0.004
Simulator,Minor,4.5460807273729164e-07,0.006701953132856475,0.007
Simulator,Minor,5.531505531505532e-07,0.006701953132856475,0.008
Simulator,Minor,6.857208163887275e-07,0.006701953132856475,0.01
Simulator,Minor,1.7852389948130693e-06,0.006701953132856475,0.027
Simulator,Minor,8.967667921601577e-07,0.006701953132856475,0.013
Simulator,Minor,1.295058978800627e-06,0.006701953132856475,0.019
Simulator,Minor,1.1743681388817973e-05,0.006701953132856475,0.175
Simulator,Minor,4.58891387779307e-06,0.006701953132856475,0.068
Simulator,Minor,4.9275666540180795e-06,0.006701953132856475,0.074
Simulator,Minor,4.978883845351813e-06,0.006701953132856475,0.074
Simulator,Minor,4.654592377528919e-06,0.006701953132856475,0.069
Simulator,Minor,4.6336320166810756e-06,0.006701953132856475,0.069
Simulator,Minor,4.243299857380556e-06,0.006701953132856475,0.063
Simulator,Minor,4.180093952587887e-06,0.006701953132856475,0.062
Simulator,Minor,4.010411937407306e-06,0.006701953132856475,0.06
Simulator,Minor,2.95190588977974e-07,0.006701953132856475,0.004
Simulator,Minor,1.3218294646766328e-07,0.006701953132856475,0.002
Simulator,Minor,2.1367521367521368e-05,0.006701953132856475,0.319
Simulator,Minor,2.0114942528735632e-05,0.006701953132856475,0.3
Simulator,Minor,1.6865992026985588e-05,0.006701953132856475,0.252
Simulator,Minor,1.789976133651551e-05,0.006701953132856475,0.267
Simulator,Minor,1.7391304347826085e-05,0.006701953132856475,0.259
Simulator,Minor,1.7391304347826085e-05,0.006701953132856475,0.259
Simulator,Minor,3.418803418803419e-06,0.006701953132856475,0.051
Simulator,Minor,3.5790980672870434e-07,0.006701953132856475,0.005
