Category,Project,Severity,Frequency,Total,Percentage
Quantum-Chemistry,QCElemental,NBlocker,1.6044623847578386e-07,1.1926415773468779e-05,1.345
Quantum-Chemistry,QCEngine,Critical,1.1513919046106467e-05,1.6535764146604578e-05,69.63
Quantum-Chemistry,QCEngine,Major,2.8573902525803854e-06,1.6535764146604578e-05,17.28
Quantum-Chemistry,QCEngine,Minor,1.511422351491888e-06,1.6535764146604578e-05,9.14
Quantum-Chemistry,QCEngine,NBlocker,6.530324964258377e-07,1.6535764146604578e-05,3.949
Quantum-Chemistry,QCFractal,Critical,6.410004525506794e-06,1.5717520692094136e-05,40.783
Quantum-Chemistry,QCFractal,Major,5.3771276477972585e-06,1.5717520692094136e-05,34.211
Quantum-Chemistry,QCFractal,Minor,3.1037669680714153e-06,1.5717520692094136e-05,19.747
Quantum-Chemistry,QCFractal,NBlocker,8.266215507186676e-07,1.5717520692094136e-05,5.259
Quantum-Chemistry,CheMPS2,Critical,5.703630906442963e-06,6.663829884594419e-05,8.559
Quantum-Chemistry,CheMPS2,Major,4.344728266550171e-05,6.663829884594419e-05,65.199
Quantum-Chemistry,CheMPS2,Minor,1.748738527399952e-05,6.663829884594419e-05,26.242
Quantum-Chemistry,CheMPS2,NBlocker,0.0,6.663829884594419e-05,0.0
Quantum-Chemistry,libra-code,Critical,1.8350128403010825e-06,2.3181308691908166e-05,7.916
Quantum-Chemistry,libra-code,Major,1.5066656225413318e-05,2.3181308691908166e-05,64.995
Quantum-Chemistry,libra-code,Minor,6.170753275630492e-06,2.3181308691908166e-05,26.62
Quantum-Chemistry,libra-code,NBlocker,1.0888635056327559e-07,2.3181308691908166e-05,0.47
Quantum-Chemistry,qmcpack,Critical,0.0,0.0,0
Quantum-Chemistry,qmcpack,Major,0.0,0.0,0
Quantum-Chemistry,qmcpack,Minor,0.0,0.0,0
Quantum-Chemistry,qmcpack,NBlocker,0.0,0.0,0
Quantum-Chemistry,cp2k,Critical,5.32775081996424e-06,1.76498342509123e-05,30.186
Quantum-Chemistry,cp2k,Major,7.959015303462664e-06,1.76498342509123e-05,45.094
Quantum-Chemistry,cp2k,Minor,3.954523898359644e-06,1.76498342509123e-05,22.405
Quantum-Chemistry,cp2k,NBlocker,4.0854422912575053e-07,1.76498342509123e-05,2.315
Quantum-Chemistry,xtp,Critical,9.579161023178028e-06,7.197209685941167e-05,13.31
Quantum-Chemistry,xtp,Major,3.9834933899984505e-05,7.197209685941167e-05,55.348
Quantum-Chemistry,xtp,Minor,1.4446748265820479e-05,7.197209685941167e-05,20.073
Quantum-Chemistry,xtp,NBlocker,8.111253670428654e-06,7.197209685941167e-05,11.27
Quantum-Chemistry,hande,Critical,1.9795137506243214e-05,3.83412631646592e-05,51.629
Quantum-Chemistry,hande,Major,1.478799706757929e-05,3.83412631646592e-05,38.569
Quantum-Chemistry,hande,Minor,3.5640634490195747e-06,3.83412631646592e-05,9.296
Quantum-Chemistry,hande,NBlocker,1.940651418171161e-07,3.83412631646592e-05,0.506
Quantum-Chemistry,quantarhei,Critical,5.621026627352811e-06,2.1487981586053815e-05,26.159
Quantum-Chemistry,quantarhei,Major,1.3413025647054611e-05,2.1487981586053815e-05,62.421
Quantum-Chemistry,quantarhei,Minor,2.261036707409129e-06,2.1487981586053815e-05,10.522
