categories,repos,repo_id,interval,commits,cloc
Full-stack Library,rigetti/rpcq,9,120,68,3484
Full-stack Library,rigetti/rpcq,9,150,81,3847
Full-stack Library,rigetti/rpcq,9,180,81,3847
Full-stack Library,rigetti/rpcq,9,30,55,2845
Full-stack Library,ProjectQ-Framework/ProjectQ,10,30,83,81107
Full-stack Library,ProjectQ-Framework/ProjectQ,10,60,107,109672
Full-stack Library,ProjectQ-Framework/ProjectQ,10,90,109,109741
Full-stack Library,ProjectQ-Framework/ProjectQ,10,120,110,110552
Full-stack Library,ProjectQ-Framework/ProjectQ,10,150,111,111521
Full-stack Library,ProjectQ-Framework/ProjectQ,10,180,112,111703
Full-stack Library,QuantumPackage/qp2,11,30,396,1269238
Full-stack Library,QuantumPackage/qp2,11,60,399,1269355
Full-stack Library,QuantumPackage/qp2,11,90,400,1270113
Full-stack Library,QuantumPackage/qp2,11,120,400,1270113
Full-stack Library,QuantumPackage/qp2,11,150,400,1270113
Full-stack Library,QuantumPackage/qp2,11,180,400,1270113
Full-stack Library,XanaduAI/strawberryfields,12,90,500,144353
Full-stack Library,XanaduAI/strawberryfields,12,120,500,144353
Full-stack Library,XanaduAI/strawberryfields,12,150,500,144353
Full-stack Library,XanaduAI/strawberryfields,12,180,500,144353
Full-stack Library,XanaduAI/strawberryfields,12,60,497,144295
Full-stack Library,XanaduAI/strawberryfields,12,30,491,139556
Full-stack Library,Blueqat/Blueqat,13,30,262,36746
Full-stack Library,Blueqat/Blueqat,13,60,268,36781
Full-stack Library,Blueqat/Blueqat,13,90,298,44583
Full-stack Library,Blueqat/Blueqat,13,120,299,44585
Full-stack Library,Blueqat/Blueqat,13,150,299,44585
Full-stack Library,Blueqat/Blueqat,13,180,300,44587
Full-stack Library,quantumlib/Cirq,14,30,893,219328
Full-stack Library,quantumlib/Cirq,14,60,899,221073
Full-stack Library,quantumlib/Cirq,14,90,900,221134
Full-stack Library,quantumlib/Cirq,14,120,900,221134
